"Kategori ","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020101320303010720000001","1101001135000000000000020101320303010720000001","Global Positioning System","    ","","Merk: Garmin / NUVI 1460 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,000,000.00","5,000,000.00","Pengadaan APBD","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020101320303010720000002","1101001135000000000000020101320303010720000002","Global Positioning System","    ","","Merk: Garmin / NUVI 1460 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,000,000.00","5,000,000.00","Pengadaan APBD","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020101320303010720000003","1101001135000000000000020101320303010720000003","Global Positioning System","    ","","Merk: Garmin / NUVI 1460 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,000,000.00","5,000,000.00","Pengadaan APBD","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020101320303010720000004","1101001135000000000000020101320303010720000004","Global Positioning System","    ","","Merk: Garmin / MAP 62 S ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","6,000,000.00","6,000,000.00","Pengadaan APBD","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020101320303010720000005","1101001135000000000000020101320303010720000005","Global Positioning System","    ","","Merk: Garmin / Oregon 550 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","7,450,000.00","7,450,000.00","Pengadaan APBD","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020101320303010720000006","1101001135000000000000020101320303010720000006","Global Positioning System","    ","","Merk: Garmin / Oregon 550 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","7,450,000.00","7,450,000.00","Pengadaan APBD","12/31/2010","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020131320303010720000001","1101001135000000000000020131320303010720000001","Global Positioning System","    ","","Merk: Garmin / Magellan Explorist 610 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","6,950,000.00","6,950,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020131320303010720000002","1101001135000000000000020131320303010720000002","Global Positioning System","    ","","Merk: Garmin / Magellan Explorist 610 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","6,950,000.00","6,950,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020141320303010720000001","1101001135000000000000020141320303010720000001","Global Positioning System","    ","","Merk: Garmin 62s ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,895,000.00","4,895,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","GPS","","","","","","","",""
"Alat Ukur","Alat Ukur Universal","Global Positioning System","1101001135000000000000020141320303010720000002","1101001135000000000000020141320303010720000002","Global Positioning System","    ","","Merk: Garmin 62s ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,895,000.00","4,895,000.00","Pengadaan APBD","12/31/2014","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","GPS","","","","","","","",""
