"Kategori","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Kantor","Mesin Hitung/Mesin Jumlah","Mesin Penghitung Uang","1101001135000000000000020151320501020120000001","1101001135000000000000020151320501020120000001","Mesin Penghitung Uang","    ","","Merk: Tissor Banknote Counter ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,402,000.00","3,402,000.00","Pengadaan APBD","12/31/2015","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Reproduksi (Penggandaan)","Mesin Fotocopy Folio","1101001135000000000000020131320501030070000001","1101001135000000000000020131320501030070000001","Mesin Fotocopy Folio","    ","","Merk: Canon / IR1024 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","14,850,000.00","14,850,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Reproduksi (Penggandaan)","Mesin Fotocopy Folio","1101001135000000000000020191320501030070000001","1101001135000000000000020191320501030070000001","Mesin Fotocopy Folio","    ","","Merk: Canon iR 2206 ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","24,585,000.00","24,585,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Mesin Fotocopy Portable","","","","","","","",""
"Alat Kantor","Alat Reproduksi (Penggandaan)","Mesin Fotocopy Folio","1101001135000000000000020201320501030070000001","1101001135000000000000020201320501030070000001","Mesin Fotocopy Folio","    ","","Merk: Canon IR-2006N + DADF ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","23,000,000.00","23,000,000.00","Pengadaan APBD","12/31/2020","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Besi/Metal","1101001135000000000000020221320501040010000001","1101001135000000000000020221320501040010000001","Lemari Besi/Metal","    ","","Merk: Alba Mechanic Mobile File ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","79,476,000.00","79,476,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Besi/Metal","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Besi/Metal","1101001135000000000000020221320501040010000002","1101001135000000000000020221320501040010000002","Lemari Besi/Metal","    ","","Merk: Alba Mechanic Mobile File ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","79,476,000.00","79,476,000.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Lemari Besi/Metal","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020031320501040020000001","1101001135000000000000020031320501040020000001","Lemari Kayu","    ","","Merk: TEMPAHAN / LEMARI BUKU ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","24,000,000.00","24,000,000.00","Pengadaan APBD","12/31/2003","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020061320501040020000001","1101001135000000000000020061320501040020000001","Lemari Kayu","    ","","Merk: TEMPAHAN / Lemari Sound System Upacara ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,475,000.00","2,475,000.00","Pengadaan APBD","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020081320501040020000001","1101001135000000000000020081320501040020000001","Lemari Kayu","    ","","Merk: Tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","5,500,000.00","5,500,000.00","Hibah","12/31/2008","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011. PengadaanMeubelaiir Perpustakaan","","","","","","","",""
"Alat Kantor","Alat Penyimpan Perlengkapan Kantor","Lemari Kayu","1101001135000000000000020121320501040020000001","1101001135000000000000020121320501040020000001","Lemari Kayu","    ","","Merk: tempahan ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","19,800,000.00","19,800,000.00","Pengadaan APBD","12/31/2012","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
