"Kategori","Sub Kategori","Nama_Barang","NIBAR"," Nomor Register","Spesifikasi Nama Barang","Spesifikasi Lainnya","","Merek/tipe","Lokasi","Nomor Polisi","Nomor Rangka","Nomor Mesin","Nomor BPKB","Jumlah","Satuan","","Harga Satuan Perolehan Rp.","Nilai Perolehan Rp.","Cara Perolehan","Tanggal Perolehan","Status Penggunaan","","Keterangan","","No. BAST","Pengguna","Bidang","Link","Masa berlaku Pajak","Masa berlaku STNK","Ket"
"Alat Studio","Peralatan Studio Audio","Audio Mixing Stationer","1101001135000000000000020191320601010030000001","1101001135000000000000020191320601010030000001","Audio Mixing Stationer","    ","","Merk: SARAMONIC ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,565,000.00","4,565,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Audio Mixer MixMic","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Audio Mixing Stationer","1101001135000000000000020191320601010030000002","1101001135000000000000020191320601010030000002","Audio Mixing Stationer","    ","","Merk: SARAMONIC ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","4,565,000.00","4,565,000.00","Pengadaan APBD","12/31/2019","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Audio Mixer MixMic","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Audio Monitor Active","1101001135000000000000020131320601010080000001","1101001135000000000000020131320601010080000001","Audio Monitor Active","    ","","Merk: Promethean / ActiveBoard 395 Pro Adjustable System ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","179,880,000.00","179,880,000.00","Pengadaan APBD","12/31/2013","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Microphone/Wireless MIC","1101001135000000000000020171320601010360000001","1101001135000000000000020171320601010360000001","Microphone/Wireless MIC","    ","","Merk: Shure / UR 8d ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","3,080,000.00","3,080,000.00","Pengadaan APBD","12/31/2017","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Microphone wireless","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Microphone/Wireless MIC","1101001135000000000000020221320601010360000001","1101001135000000000000020221320601010360000001","Microphone/Wireless MIC","    ","","Merk: Microphone Wireless Vocal (Saramonic Blink 500 B2) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,919,300.00","2,919,300.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Alat Studio Lainnya","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Microphone/Wireless MIC","1101001135000000000000020221320601010360000002","1101001135000000000000020221320601010360000002","Microphone/Wireless MIC","    ","","Merk: Microphone Wireless Vocal (Saramonic Blink 500 B2) ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","2,919,300.00","2,919,300.00","Pengadaan APBD","12/31/2022","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Alat Studio Lainnya","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Microphone/Wireless MIC","110111003500000000000020231320601010360000001","110111003500000000000020231320601010360000001","Mic Wireles","ur Windscreen 8ms Ultra-low Latency USB-C Charging Port (DC 5V)  ","","Merk: Saramonic  Tipe: Blink 500 Pro X RXC","-  Kel. Kuta Alam Kec. Kuta Alam KOTA BANDA ACEH PROVINSI ACEH","","","","","1.00","unit","","1,615,000.00","1,615,000.00","Pengadaan APBD","12/1/2023","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Power Supply Microphone","1101001135000000000000020161320601010400000001","1101001135000000000000020161320601010400000001","Power Supply Microphone","    ","","Merk: Bosch ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","26,450,000.00","26,450,000.00","Pengadaan APBD","12/31/2016","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Uninterruptible Power Supply (UPS)","1101001135000000000000020061320601010480000001","1101001135000000000000020061320601010480000001","Uninterruptible Power Supply (UPS)","    ","","Merk: 30 A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Uninterruptible Power Supply (UPS)","1101001135000000000000020061320601010480000002","1101001135000000000000020061320601010480000002","Uninterruptible Power Supply (UPS)","    ","","Merk: 30 A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Uninterruptible Power Supply (UPS)","1101001135000000000000020061320601010480000003","1101001135000000000000020061320601010480000003","Uninterruptible Power Supply (UPS)","    ","","Merk: 30 A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Uninterruptible Power Supply (UPS)","1101001135000000000000020061320601010480000004","1101001135000000000000020061320601010480000004","Uninterruptible Power Supply (UPS)","    ","","Merk: 30 A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011","","","","","","","",""
"Alat Studio","Peralatan Studio Audio","Uninterruptible Power Supply (UPS)","1101001135000000000000020061320601010480000005","1101001135000000000000020061320601010480000005","Uninterruptible Power Supply (UPS)","    ","","Merk: 30 A ","Jln. Tgk. Mohd. Daud Beureueh No. 26 Kuta Alam Kuta Alam Banda Aceh     ","","","","","1.00","unit","","1,000,000.00","1,000,000.00","Hibah","12/31/2006","BADAN PERENCANAAN PEMBANGUNAN DAERAH ACEH","","Hibah BRR sesuai dengan LHI. Thn 2011 No. LHI.012. BAPPEDA/ACEH/TLBRR/VIII/2011","","","","","","","",""
