"No Polisi","Merk","Type","No. Rangka","No. Mesin","Warna","Tahun Pembuatan","Sumber Dana","Kondisi Kendaraan ","Keterangan"
"BL 1052 AI","MITSUBISHI","NEW PAJERO SPORT DAKKAR 4X4","MMBGYKH40ED002967","4D56UC-EN8765","Abu Perak Metalik","2013","APBA","Baik",""
"BL 15 AB","TOYOTA","KIJANG INNOVA","MHFXW42G4C2226618","1TR 7325075","Silver Metalik","2012","APBA","Baik",""
"BL 1028 AR","HONDA","CRV","WND21-GG4639","ZN24-945210Y","Hitam Mutiara","2009","APBD","Baik",""
"BL 1069 AE","TOYOTA","KIJANG INNOVA","MHFXW42G792145833","1TR-6812195","Abu-Abu Metalik","2006","HIBAH UNDP","Baik",""
"BL 216 JB","ISUZU","TBR 54AF TURBO LM","MHCTBR54FAK303190","E303190","Perak Metalik","2010","HIBAH EDFF","Baik",""
"BL 149 AB","TOYOTA","KIJANG INNOVA","MHFXW42GX72084135","1 TR6352286","Silver Metalik","2007","HIBAH UNICEF","Baik",""
"BL 269 AI","TOYOTA","KIJANG INNOVA","MHFXW42GA","1TR-6197985","Hitam Metalik","2006","HIBAH UNDP","Baik",""
"BL 8062 AN","TOYOTA","HILUX","MROFR22G5C0616952","2 KD S079946","Hitam Metalik","2012","APBA","Baik",""
"BL 145 AC","TOYOTA","FORTUNER 2.7V A/T","MHFYX59GXD8049276","2TR-7590725","Silver Metalik","2013","APBA","Baik",""
"BL 251 J","TOYOTA","RUSH 1.5 S","MHFE2CJ3J8K013545","DBA5125","Hitam Metalik","2008","HIBAH WISMP/APBA","Baik",""
"BL 1095 AR","NISSAN","TERRANO","WND21-GG4639","ZN24-945210Y","Hitam Silver","2002","APBD","Baik","Usul Penjualan"
"BL 263 AH","DAIHATSU","TAFT ROCKY","958927","964575","Putih","1993","APBD","Baik","Usul Hibah"
